"
Date","American Express (AXP)
","Amgen Inc (AMGN)
","Apple Inc (AAPL)
","Boeing Co (BA)
","Caterpillar Inc (CAT)
","Cisco Systems Inc (CSCO)
","(CVX)
","(GS)
","Home Depot Inc (HD)
","Honeywell International Inc (HON)
","IBM Corp  (IBM)
","Intel Corp (INTC)
","Johnson & Johnson (JNJ)
","Coca-Cola Co (KO)
","JPMorgan Chase & Co (JPM)
","McDonald\'s Corp (MCD)
","3M Co (MMM)
","Merck & Co inc (MRK)
","Microsoft (MSFT)
","Nike Inc (NKE)
","Procter & Gamble Co (PG)
","TRV
","UnitedHealth Group (UNH)
","Salesforce Inc (CRM)
","Verizon Communications Inc (VZ)
","Visa Inc (V)
","Walgreens Boots Alliance Inc (WBA)
","Walmart Inc (WMT)
","Walt Disney Co (DIS)
"
2014-03-14,78.145988,93.597809,16.526598,105.812027,72.774506,15.741110,75.655807,137.660812,63.392143,71.774712,115.112976,18.639563,71.203773,28.008976,43.245457,75.556908,94.237679,39.360279,31.983585,35.185535,59.686050,66.021416,65.204391,58.160000,28.765007,51.559711,48.711388,60.423809,73.450340
2014-03-17,79.090614,94.606018,16.591169,107.797485,72.988136,15.859081,76.299011,138.901352,63.551895,72.858986,117.387291,18.791716,72.063042,28.082354,43.839329,75.572372,96.008766,39.756008,32.280506,35.482014,60.335968,66.724266,66.117455,58.320000,28.908577,52.262688,48.907490,60.749199,74.661201
2014-03-18,79.376587,97.363419,16.737949,106.611382,73.552681,15.947552,77.074806,139.941971,63.743526,73.132042,118.019051,18.883020,72.070717,28.177753,44.204777,75.347824,96.349899,39.826660,33.553070,35.778526,60.283062,67.051720,67.185539,59.630001,29.152052,52.876896,48.805798,60.822407,75.211601
2014-03-19,78.631302,96.683601,16.733538,105.064293,73.270409,15.947552,76.385201,140.016922,63.687637,72.461166,116.692383,19.035173,71.802185,27.986967,44.387520,74.410927,95.253883,39.565212,33.315521,35.558388,59.534916,66.452713,68.873810,58.430000,28.939795,52.272022,48.537083,60.505154,73.863121
2014-03-20,79.463287,97.042603,16.652903,106.344925,73.400093,16.095011,76.590752,140.882767,63.959145,72.507980,118.707687,19.347099,72.208794,28.214430,45.765579,74.798088,96.124886,39.282547,34.214794,35.612293,59.187279,66.476692,70.226112,59.119999,29.470400,51.804928,48.297398,61.318615,74.129143
2014-03-21,79.315948,93.895706,16.784243,105.356522,74.300339,15.954926,76.670334,138.992874,64.222664,72.539162,117.930595,19.149296,73.597450,28.207104,45.811268,73.923119,96.625748,38.625366,34.070568,33.788334,58.854774,66.915939,70.062439,57.029999,29.283119,52.166916,47.026432,61.904305,73.707199
2014-03-24,78.873955,92.635406,16.983313,106.078468,73.888374,15.903312,76.816223,137.968842,63.615784,71.743523,118.928802,19.111259,73.037376,28.177753,46.496490,74.472870,96.117615,38.003510,34.359013,33.631084,59.927887,66.979874,70.010780,56.360001,29.345570,51.555031,46.706863,62.441189,72.918282
2014-03-25,78.726608,92.138901,17.166000,106.594177,75.215828,16.471025,77.638412,135.912491,63.464035,72.110138,123.218460,19.369930,74.709869,28.339190,46.389900,74.263817,97.308052,38.999886,34.223270,33.087505,60.313301,67.115639,69.855728,56.650002,29.476645,51.006203,48.239307,62.530682,72.973328
2014-03-26,77.703972,91.741737,17.001902,106.173035,74.613136,16.456282,78.049522,134.646973,62.984890,70.862022,121.689583,19.309059,74.456696,28.331841,45.605686,74.209595,96.603973,39.586403,33.756668,32.894318,60.079037,66.636406,70.234711,55.209999,29.345570,50.370956,47.157143,62.010071,72.120216
2014-03-27,77.989944,93.406853,16.928829,105.897987,75.109039,16.235094,78.022964,135.113190,62.833138,70.440796,119.926994,19.255808,74.633156,28.485945,45.620918,74.457375,96.422493,39.381470,33.391884,32.939247,60.192379,66.684326,69.786804,55.970001,29.770037,50.391975,46.735905,61.936840,71.991791
2014-03-28,78.397301,92.077820,16.909920,106.972351,75.826157,16.463657,78.573318,135.121552,62.865105,70.901001,120.318634,19.491653,74.755905,28.581337,45.712288,75.293625,97.409660,39.558136,34.189350,33.038086,60.275509,67.083679,70.303642,55.750000,29.601486,49.532539,47.469460,61.831104,72.459625
